Year,World Population,Yearly,Net,Density,Urban,Urban,,Data link
,,Change,Change,(P/Km²),Pop,Pop %,,https://www.worldometers.info/world-population/world-population-by-year/
2020,"7,794,798,739",1.05%,"81,330,639",52,"4,378,993,944",56%,,
2019,"7,713,468,100",1.08%,"82,377,060",52,"4,299,438,618",56%,,
2018,"7,631,091,040",1.10%,"83,232,115",51,"4,219,817,318",55%,,
2017,"7,547,858,925",1.12%,"83,836,876",51,"4,140,188,594",55%,,
2016,"7,464,022,049",1.14%,"84,224,910",50,"4,060,652,683",54%,,
2015,"7,379,797,139",1.16%,"84,506,374",50,"3,981,497,663",54%,,
2014,"7,295,290,765",1.17%,"84,708,789",49,"3,902,831,934",53%,,
2013,"7,210,581,976",1.19%,"84,753,917",48,"3,824,990,329",53%,,
2012,"7,125,828,059",1.20%,"84,633,758",48,"3,747,842,586",53%,,
2011,"7,041,194,301",1.21%,"84,370,698",47,"3,671,423,872",52%,,
2010,"6,956,823,603",1.22%,"84,056,510",47,"3,594,868,146",52%,,
2009,"6,872,767,093",1.23%,"83,678,407",46,"3,516,830,263",51%,,
2008,"6,789,088,686",1.24%,"83,142,076",46,"3,439,719,128",51%,,
2007,"6,705,946,610",1.24%,"82,428,777",45,"3,363,609,560",50%,,
2006,"6,623,517,833",1.25%,"81,610,806",44,"3,289,446,226",50%,,
2005,"6,541,907,027",1.25%,"80,747,638",44,"3,215,905,863",49%,,
2004,"6,461,159,389",1.25%,"79,974,275",43,"3,143,044,892",49%,,
2003,"6,381,185,114",1.26%,"79,411,926",43,"3,071,743,997",48%,,
2002,"6,301,773,188",1.27%,"79,146,582",42,"3,001,808,223",48%,,
2001,"6,222,626,606",1.29%,"79,132,783",42,"2,933,078,510",47%,,
2000,"6,143,493,823",1.31%,"79,254,768",41,"2,868,307,513",47%,,
1999,"6,064,239,055",1.33%,"79,445,113",41,"2,808,231,655",46%,,
1998,"5,984,793,942",1.35%,"79,748,154",40,"2,749,213,598",46%,,
1997,"5,905,045,788",1.38%,"80,153,837",40,"2,690,813,541",46%,,
1996,"5,824,891,951",1.40%,"80,678,972",39,"2,632,941,583",45%,,
1995,"5,744,212,979",1.43%,"81,062,552",39,"2,575,505,235",45%,,
1994,"5,663,150,427",1.46%,"81,552,881",38,"2,518,254,111",44%,,
1993,"5,581,597,546",1.50%,"82,677,737",37,"2,461,223,528",44%,,
1992,"5,498,919,809",1.56%,"84,630,365",37,"2,404,337,297",44%,,
1991,"5,414,289,444",1.63%,"87,058,383",36,"2,347,462,336",43%,,
1990,"5,327,231,061",1.71%,"89,789,503",36,"2,290,228,096",43%,,
1989,"5,237,441,558",1.79%,"92,015,550",35,"2,233,140,502",43%,,
1988,"5,145,426,008",1.84%,"92,903,861",35,"2,176,126,537",42%,,
1987,"5,052,522,147",1.85%,"91,954,235",34,"2,118,882,551",42%,,
1986,"4,960,567,912",1.84%,"89,646,172",33,"2,062,604,394",42%,,
1985,"4,870,921,740",1.82%,"86,910,119",33,"2,007,939,063",41%,,
1984,"4,784,011,621",1.80%,"84,442,317",32,"1,955,106,433",41%,,
1983,"4,699,569,304",1.78%,"82,182,762",32,"1,903,822,436",41%,,
1982,"4,617,386,542",1.77%,"80,389,780",31,"1,854,134,229",40%,,
1981,"4,536,996,762",1.77%,"78,993,248",30,"1,804,215,203",40%,,
1980,"4,458,003,514",1.77%,"77,497,414",30,"1,754,201,029",39%,,
1979,"4,380,506,100",1.76%,"75,972,599",29,"1,706,021,638",39%,,
1978,"4,304,533,501",1.77%,"75,027,441",29,"1,659,306,117",39%,,
1977,"4,229,506,060",1.80%,"74,839,196",28,"1,616,419,308",38%,,
1976,"4,154,666,864",1.84%,"75,186,258",28,"1,577,376,141",38%,,
1975,"4,079,480,606",1.89%,"75,686,434",27,"1,538,624,994",38%,,
1974,"4,003,794,172",1.94%,"76,013,934",27,"1,501,134,655",37%,,
1973,"3,927,780,238",1.98%,"76,129,993",26,"1,462,178,370",37%,,
1972,"3,851,650,245",2.01%,"75,890,628",26,"1,424,734,781",37%,,
1971,"3,775,759,617",2.04%,"75,322,571",25,"1,388,834,099",37%,,
1970,"3,700,437,046",2.06%,"74,756,419",25,"1,354,215,496",37%,,
